KMeans_Init=c_Dist=1 
k,SSE
2,109091.523403
3,115798.397803
4,102694.059831
5,102457.727482
6,103946.514494
7,99420.3028185
8,96996.5708557
9,97377.6939269
10,94171.2360092
11,92478.1496561
12,91834.1777785
13,93433.3952547
14,116230.909749
15,86914.7164148
16,91862.7677631
17,89846.4040252
18,90646.2125725
19,87773.7609375
